




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (1920)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
nonassociative learning (GO:0046958)	15	7	2.08	+	3.36	2.28E-03	1.01E-02
ribonucleoside monophosphate biosynthetic process (GO:0009156)	15	7	2.08	+	3.36	2.28E-03	1.00E-02
positive regulation of receptor signaling pathway via STAT (GO:1904894)	15	7	2.08	+	3.36	2.28E-03	1.00E-02
cellular pigmentation (GO:0033059)	15	7	2.08	+	3.36	2.28E-03	1.00E-02
negative regulation of locomotion (GO:0040013)	15	7	2.08	+	3.36	2.28E-03	1.00E-02
epithelial structure maintenance (GO:0010669)	30	14	4.17	+	3.36	1.55E-05	1.14E-04
pigment granule organization (GO:0048753)	15	7	2.08	+	3.36	2.28E-03	1.00E-02
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	15	7	2.08	+	3.36	2.28E-03	1.00E-02
positive regulation of carbohydrate metabolic process (GO:0045913)	15	7	2.08	+	3.36	2.28E-03	1.00E-02
leg disc morphogenesis (GO:0007478)	73	34	10.14	+	3.35	1.60E-11	2.45E-10
axon development (GO:0061564)	310	144	43.06	+	3.34	1.32E-44	8.80E-43
anatomical structure formation involved in morphogenesis (GO:0048646)	534	248	74.18	+	3.34	2.47E-77	4.32E-75
brain development (GO:0007420)	112	52	15.56	+	3.34	8.09E-17	1.87E-15
cell population proliferation (GO:0008283)	123	57	17.09	+	3.34	2.95E-18	7.25E-17
meiotic cytokinesis (GO:0033206)	41	19	5.70	+	3.34	5.41E-07	5.35E-06
negative regulation of multicellular organismal process (GO:0051241)	162	75	22.50	+	3.33	1.42E-23	4.43E-22
regulation of actin filament-based process (GO:0032970)	108	50	15.00	+	3.33	3.68E-16	8.06E-15
cell morphogenesis involved in neuron differentiation (GO:0048667)	387	179	53.76	+	3.33	4.16E-55	4.08E-53
striated muscle cell differentiation (GO:0051146)	80	37	11.11	+	3.33	2.65E-12	4.27E-11
regulation of actin cytoskeleton organization (GO:0032956)	106	49	14.73	+	3.33	7.84E-16	1.66E-14
animal organ morphogenesis (GO:0009887)	723	334	100.44	+	3.33	7.67E-105	2.82E-102
vitelline membrane formation involved in chorion-containing eggshell formation (GO:0007305)	13	6	1.81	+	3.32	5.10E-03	2.01E-02
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	13	6	1.81	+	3.32	5.10E-03	2.00E-02
NADP metabolic process (GO:0006739)	13	6	1.81	+	3.32	5.10E-03	2.00E-02
vitelline membrane formation (GO:0030704)	13	6	1.81	+	3.32	5.10E-03	2.00E-02
viral life cycle (GO:0019058)	26	12	3.61	+	3.32	7.25E-05	4.67E-04
regulation of crystal cell differentiation (GO:0042689)	13	6	1.81	+	3.32	5.10E-03	2.00E-02
establishment or maintenance of neuroblast polarity (GO:0045196)	13	6	1.81	+	3.32	5.10E-03	2.00E-02
calcium ion transmembrane import into cytosol (GO:0097553)	13	6	1.81	+	3.32	5.10E-03	2.00E-02
regulation of eye photoreceptor cell development (GO:0042478)	13	6	1.81	+	3.32	5.10E-03	2.00E-02
regulation of nucleocytoplasmic transport (GO:0046822)	26	12	3.61	+	3.32	7.25E-05	4.67E-04
purine nucleobase metabolic process (GO:0006144)	13	6	1.81	+	3.32	5.10E-03	2.00E-02
positive regulation of filopodium assembly (GO:0051491)	26	12	3.61	+	3.32	7.25E-05	4.66E-04
anesthesia-resistant memory (GO:0007615)	13	6	1.81	+	3.32	5.10E-03	2.00E-02
photoperiodism (GO:0009648)	13	6	1.81	+	3.32	5.10E-03	1.99E-02
egg coat formation (GO:0035803)	13	6	1.81	+	3.32	5.10E-03	1.99E-02
negative regulation of canonical Wnt signaling pathway (GO:0090090)	39	18	5.42	+	3.32	1.16E-06	1.06E-05
larval somatic muscle development (GO:0007526)	39	18	5.42	+	3.32	1.16E-06	1.06E-05
somatic muscle development (GO:0007525)	78	36	10.84	+	3.32	5.65E-12	8.94E-11
regulation of multicellular organismal development (GO:2000026)	273	126	37.92	+	3.32	9.96E-39	5.47E-37
muscle cell differentiation (GO:0042692)	113	52	15.70	+	3.31	1.30E-16	2.95E-15
central nervous system development (GO:0007417)	276	127	38.34	+	3.31	7.38E-39	4.08E-37
chaeta development (GO:0022416)	87	40	12.09	+	3.31	4.40E-13	7.48E-12
regulation of chromosome segregation (GO:0051983)	37	17	5.14	+	3.31	2.49E-06	2.19E-05
larval development (GO:0002164)	170	78	23.62	+	3.30	3.71E-24	1.20E-22
regulation of intracellular protein transport (GO:0033157)	24	11	3.33	+	3.30	1.57E-04	9.31E-04
positive regulation of small molecule metabolic process (GO:0062013)	24	11	3.33	+	3.30	1.57E-04	9.31E-04
sex-chromosome dosage compensation (GO:0007549)	24	11	3.33	+	3.30	1.57E-04	9.30E-04
periodic partitioning (GO:0007365)	48	22	6.67	+	3.30	8.82E-08	9.27E-07
cell projection morphogenesis (GO:0048858)	393	180	54.60	+	3.30	1.27E-54	1.19E-52
plasma membrane bounded cell projection morphogenesis (GO:0120039)	391	179	54.32	+	3.30	2.81E-54	2.52E-52
regulation of sister chromatid segregation (GO:0033045)	35	16	4.86	+	3.29	5.34E-06	4.39E-05
gland morphogenesis (GO:0022612)	70	32	9.72	+	3.29	1.16E-10	1.66E-09
glial cell migration (GO:0008347)	35	16	4.86	+	3.29	5.34E-06	4.38E-05
salivary gland morphogenesis (GO:0007435)	70	32	9.72	+	3.29	1.16E-10	1.66E-09
pigmentation (GO:0043473)	70	32	9.72	+	3.29	1.16E-10	1.65E-09
carbohydrate homeostasis (GO:0033500)	57	26	7.92	+	3.28	6.78E-09	8.12E-08
positive regulation of cell cycle (GO:0045787)	68	31	9.45	+	3.28	2.46E-10	3.41E-09
regulation of anatomical structure morphogenesis (GO:0022603)	180	82	25.01	+	3.28	4.49E-25	1.54E-23
neuron projection morphogenesis (GO:0048812)	389	177	54.04	+	3.28	3.50E-53	2.89E-51
positive regulation of protein ubiquitination (GO:0031398)	11	5	1.53	+	3.27	1.15E-02	4.13E-02
germ-line stem-cell niche homeostasis (GO:0060250)	22	10	3.06	+	3.27	3.42E-04	1.87E-03
nurse cell apoptotic process (GO:0045476)	11	5	1.53	+	3.27	1.15E-02	4.12E-02
cuticle pigmentation (GO:0048067)	11	5	1.53	+	3.27	1.15E-02	4.12E-02
mitotic DNA replication checkpoint signaling (GO:0033314)	11	5	1.53	+	3.27	1.15E-02	4.12E-02
mitotic chromosome condensation (GO:0007076)	22	10	3.06	+	3.27	3.42E-04	1.86E-03
pteridine-containing compound biosynthetic process (GO:0042559)	11	5	1.53	+	3.27	1.15E-02	4.12E-02
cellular response to gamma radiation (GO:0071480)	11	5	1.53	+	3.27	1.15E-02	4.12E-02
negative regulation of stem cell differentiation (GO:2000737)	11	5	1.53	+	3.27	1.15E-02	4.11E-02
glutamine family amino acid biosynthetic process (GO:0009084)	11	5	1.53	+	3.27	1.15E-02	4.11E-02
negative regulation of lipid storage (GO:0010888)	11	5	1.53	+	3.27	1.15E-02	4.11E-02
DNA duplex unwinding (GO:0032508)	22	10	3.06	+	3.27	3.42E-04	1.86E-03
lymph gland crystal cell differentiation (GO:0035170)	11	5	1.53	+	3.27	1.15E-02	4.11E-02
male pronucleus assembly (GO:0035039)	11	5	1.53	+	3.27	1.15E-02	4.11E-02
diol biosynthetic process (GO:0034312)	11	5	1.53	+	3.27	1.15E-02	4.10E-02
diol metabolic process (GO:0034311)	11	5	1.53	+	3.27	1.15E-02	4.10E-02
negative regulation of lipid localization (GO:1905953)	11	5	1.53	+	3.27	1.15E-02	4.10E-02
synaptic vesicle transport (GO:0048489)	22	10	3.06	+	3.27	3.42E-04	1.86E-03
mesoderm migration involved in gastrulation (GO:0007509)	11	5	1.53	+	3.27	1.15E-02	4.10E-02
determination of digestive tract left/right asymmetry (GO:0071907)	11	5	1.53	+	3.27	1.15E-02	4.10E-02
behavioral response to ethanol (GO:0048149)	55	25	7.64	+	3.27	1.44E-08	1.65E-07
regulation of receptor signaling pathway via STAT (GO:1904892)	33	15	4.58	+	3.27	1.15E-05	8.79E-05
meiotic chromosome segregation (GO:0045132)	66	30	9.17	+	3.27	5.24E-10	6.99E-09
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	33	15	4.58	+	3.27	1.15E-05	8.78E-05
negative regulation of mitotic cell cycle (GO:0045930)	66	30	9.17	+	3.27	5.24E-10	6.98E-09
positive regulation of cell differentiation (GO:0045597)	117	53	16.25	+	3.26	1.54E-16	3.49E-15
positive regulation of nervous system development (GO:0051962)	106	48	14.73	+	3.26	4.23E-15	8.57E-14
chromosome condensation (GO:0030261)	53	24	7.36	+	3.26	3.07E-08	3.38E-07
positive regulation of cytoskeleton organization (GO:0051495)	42	19	5.83	+	3.26	8.59E-07	8.17E-06
cellularization (GO:0007349)	113	51	15.70	+	3.25	6.96E-16	1.49E-14
regulation of neuron differentiation (GO:0045664)	82	37	11.39	+	3.25	6.70E-12	1.06E-10
developmental maturation (GO:0021700)	191	86	26.53	+	3.24	8.50E-26	3.02E-24
cell morphogenesis (GO:0000902)	471	212	65.43	+	3.24	7.83E-63	9.76E-61
cystoblast division (GO:0007282)	20	9	2.78	+	3.24	7.46E-04	3.80E-03
regulation of DNA-templated DNA replication (GO:0090329)	20	9	2.78	+	3.24	7.46E-04	3.79E-03
mesodermal cell migration (GO:0008078)	20	9	2.78	+	3.24	7.46E-04	3.79E-03
cell adhesion mediated by integrin (GO:0033627)	20	9	2.78	+	3.24	7.46E-04	3.79E-03
instar larval or pupal development (GO:0002165)	545	245	75.71	+	3.24	9.24E-73	1.45E-70
regulation of neuron projection development (GO:0010975)	118	53	16.39	+	3.23	2.43E-16	5.43E-15
DNA-templated transcription initiation (GO:0006352)	78	35	10.84	+	3.23	3.01E-11	4.53E-10
neuron projection development (GO:0031175)	419	188	58.21	+	3.23	2.39E-55	2.37E-53
establishment of mitotic spindle localization (GO:0040001)	29	13	4.03	+	3.23	5.30E-05	3.50E-04
adherens junction organization (GO:0034332)	29	13	4.03	+	3.23	5.30E-05	3.50E-04
mesoderm morphogenesis (GO:0048332)	29	13	4.03	+	3.23	5.30E-05	3.50E-04
regulation of cell cycle (GO:0051726)	279	125	38.76	+	3.23	8.85E-37	4.65E-35
taxis (GO:0042330)	96	43	13.34	+	3.22	1.81E-13	3.23E-12
cellular process involved in reproduction in multicellular organism (GO:0022412)	731	327	101.55	+	3.22	1.02E-97	2.89E-95
mitotic cell cycle (GO:0000278)	385	172	53.48	+	3.22	2.83E-50	2.17E-48
regulation of multicellular organismal process (GO:0051239)	576	257	80.02	+	3.21	1.36E-75	2.22E-73
negative regulation of cell cycle phase transition (GO:1901988)	74	33	10.28	+	3.21	1.35E-10	1.91E-09
germ cell development (GO:0007281)	679	302	94.33	+	3.20	4.66E-89	9.80E-87
negative regulation of protein phosphorylation (GO:0001933)	18	8	2.50	+	3.20	1.63E-03	7.70E-03
meiosis II cell cycle process (GO:0061983)	18	8	2.50	+	3.20	1.63E-03	7.70E-03
ecdysteroid biosynthetic process (GO:0045456)	18	8	2.50	+	3.20	1.63E-03	7.69E-03
DNA replication checkpoint signaling (GO:0000076)	18	8	2.50	+	3.20	1.63E-03	7.69E-03
mitotic G2/M transition checkpoint (GO:0044818)	18	8	2.50	+	3.20	1.63E-03	7.69E-03
external encapsulating structure organization (GO:0045229)	144	64	20.00	+	3.20	3.69E-19	9.56E-18
negative regulation of receptor signaling pathway via STAT (GO:1904893)	18	8	2.50	+	3.20	1.63E-03	7.68E-03
apical protein localization (GO:0045176)	18	8	2.50	+	3.20	1.63E-03	7.68E-03
regulation of lipid storage (GO:0010883)	45	20	6.25	+	3.20	6.30E-07	6.17E-06
negative regulation of nuclear division (GO:0051784)	18	8	2.50	+	3.20	1.63E-03	7.67E-03
regulation of compound eye retinal cell programmed cell death (GO:0046669)	18	8	2.50	+	3.20	1.63E-03	7.67E-03
regulation of retinal cell programmed cell death (GO:0046668)	18	8	2.50	+	3.20	1.63E-03	7.66E-03
negative regulation of receptor signaling pathway via JAK-STAT (GO:0046426)	18	8	2.50	+	3.20	1.63E-03	7.66E-03
negative regulation of insulin receptor signaling pathway (GO:0046627)	27	12	3.75	+	3.20	1.14E-04	7.08E-04
negative regulation of cellular response to insulin stimulus (GO:1900077)	27	12	3.75	+	3.20	1.14E-04	7.07E-04
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	27	12	3.75	+	3.20	1.14E-04	7.07E-04
cell motility (GO:0048870)	336	149	46.68	+	3.19	4.48E-43	2.77E-41
regulation of protein phosphorylation (GO:0001932)	61	27	8.47	+	3.19	7.83E-09	9.30E-08
regulation of cell cycle phase transition (GO:1901987)	120	53	16.67	+	3.18	5.89E-16	1.26E-14
meiotic nuclear division (GO:0140013)	154	68	21.39	+	3.18	4.39E-20	1.18E-18
presynaptic endocytosis (GO:0140238)	34	15	4.72	+	3.18	1.79E-05	1.31E-04
cuticle development involved in chitin-based cuticle molting cycle (GO:0042337)	34	15	4.72	+	3.18	1.79E-05	1.31E-04
synaptic vesicle endocytosis (GO:0048488)	34	15	4.72	+	3.18	1.79E-05	1.31E-04
autophagic cell death (GO:0048102)	25	11	3.47	+	3.17	2.46E-04	1.38E-03
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	25	11	3.47	+	3.17	2.46E-04	1.38E-03
DNA replication (GO:0006260)	100	44	13.89	+	3.17	2.07E-13	3.64E-12
sensory organ boundary specification (GO:0008052)	25	11	3.47	+	3.17	2.46E-04	1.38E-03
synaptic target recognition (GO:0008039)	50	22	6.95	+	3.17	2.16E-07	2.20E-06
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	50	22	6.95	+	3.17	2.16E-07	2.20E-06
regulation of cell projection assembly (GO:0060491)	50	22	6.95	+	3.17	2.16E-07	2.20E-06
neurogenesis (GO:0022008)	811	355	112.66	+	3.15	3.21E-103	1.07E-100
meiosis I cytokinesis (GO:0007110)	16	7	2.22	+	3.15	3.58E-03	1.48E-02
regulation of protein localization to membrane (GO:1905475)	16	7	2.22	+	3.15	3.58E-03	1.47E-02
positive regulation of phosphorus metabolic process (GO:0010562)	64	28	8.89	+	3.15	5.71E-09	6.89E-08
positive regulation of phosphate metabolic process (GO:0045937)	64	28	8.89	+	3.15	5.71E-09	6.88E-08
regulation of protein kinase activity (GO:0045859)	32	14	4.45	+	3.15	3.82E-05	2.64E-04
regulation of carbohydrate catabolic process (GO:0043470)	16	7	2.22	+	3.15	3.58E-03	1.47E-02
generation of neurons (GO:0048699)	760	332	105.58	+	3.14	8.59E-96	2.18E-93
regulation of cellular localization (GO:0060341)	158	69	21.95	+	3.14	4.93E-20	1.32E-18
muscle cell development (GO:0055001)	71	31	9.86	+	3.14	9.32E-10	1.21E-08
cellular response to radiation (GO:0071478)	55	24	7.64	+	3.14	7.41E-08	7.90E-07
regulation of circadian rhythm (GO:0042752)	94	41	13.06	+	3.14	1.94E-12	3.16E-11
regulation of tube architecture, open tracheal system (GO:0035152)	94	41	13.06	+	3.14	1.94E-12	3.15E-11
segment polarity determination (GO:0007367)	39	17	5.42	+	3.14	6.05E-06	4.95E-05
intracellular signaling cassette (GO:0141124)	186	81	25.84	+	3.13	3.36E-23	1.02E-21
response to heat (GO:0009408)	85	37	11.81	+	3.13	2.50E-11	3.80E-10
actomyosin structure organization (GO:0031032)	85	37	11.81	+	3.13	2.50E-11	3.79E-10
post-embryonic development (GO:0009791)	625	272	86.82	+	3.13	3.37E-77	5.76E-75
growth (GO:0040007)	177	77	24.59	+	3.13	4.42E-22	1.29E-20
developmental growth (GO:0048589)	177	77	24.59	+	3.13	4.42E-22	1.29E-20
response to ethanol (GO:0045471)	69	30	9.59	+	3.13	1.96E-09	2.48E-08
striated muscle cell development (GO:0055002)	46	20	6.39	+	3.13	9.70E-07	9.16E-06
positive regulation of cell growth (GO:0030307)	46	20	6.39	+	3.13	9.70E-07	9.14E-06
larval lymph gland hemopoiesis (GO:0035167)	46	20	6.39	+	3.13	9.70E-07	9.13E-06
post-embryonic hemopoiesis (GO:0035166)	46	20	6.39	+	3.13	9.70E-07	9.12E-06
myofibril assembly (GO:0030239)	46	20	6.39	+	3.13	9.70E-07	9.11E-06
imaginal disc-derived leg morphogenesis (GO:0007480)	69	30	9.59	+	3.13	1.96E-09	2.47E-08
meiotic cell cycle (GO:0051321)	203	88	28.20	+	3.12	6.26E-25	2.11E-23
activation of innate immune response (GO:0002218)	30	13	4.17	+	3.12	8.17E-05	5.17E-04
nucleoside diphosphate catabolic process (GO:0009134)	30	13	4.17	+	3.12	8.17E-05	5.17E-04
regulation of cell cycle process (GO:0010564)	194	84	26.95	+	3.12	8.27E-24	2.66E-22
regulation of cell projection organization (GO:0031344)	164	71	22.78	+	3.12	2.59E-20	7.10E-19
meiosis I (GO:0007127)	67	29	9.31	+	3.12	4.14E-09	5.09E-08
regulation of cell size (GO:0008361)	104	45	14.45	+	3.11	2.31E-13	4.02E-12
positive regulation of hippo signaling (GO:0035332)	37	16	5.14	+	3.11	1.29E-05	9.76E-05
antimicrobial humoral response (GO:0019730)	37	16	5.14	+	3.11	1.29E-05	9.75E-05
DNA-templated DNA replication (GO:0006261)	88	38	12.22	+	3.11	1.81E-11	2.77E-10
DNA biosynthetic process (GO:0071897)	44	19	6.11	+	3.11	2.05E-06	1.81E-05
negative regulation of smoothened signaling pathway (GO:0045879)	51	22	7.08	+	3.11	3.30E-07	3.32E-06
neuron differentiation (GO:0030182)	705	304	97.94	+	3.10	1.59E-85	3.24E-83
meiotic cell cycle process (GO:1903046)	193	83	26.81	+	3.10	2.67E-23	8.17E-22
developmental process involved in reproduction (GO:0003006)	894	384	124.19	+	3.09	4.08E-109	1.88E-106
mitotic cell cycle process (GO:1903047)	261	112	36.26	+	3.09	5.85E-31	2.69E-29
cellular response to endogenous stimulus (GO:0071495)	133	57	18.48	+	3.09	2.50E-16	5.57E-15
proton motive force-driven ATP synthesis (GO:0015986)	21	9	2.92	+	3.09	1.15E-03	5.58E-03
regulation of mitotic sister chromatid separation (GO:0010965)	21	9	2.92	+	3.09	1.15E-03	5.57E-03
head segmentation (GO:0035287)	21	9	2.92	+	3.09	1.15E-03	5.57E-03
regulation of chromosome organization (GO:0033044)	63	27	8.75	+	3.09	1.83E-08	2.07E-07
meiotic spindle assembly (GO:0090306)	21	9	2.92	+	3.09	1.15E-03	5.57E-03
vesicle docking involved in exocytosis (GO:0006904)	21	9	2.92	+	3.09	1.15E-03	5.56E-03
cellular response to catecholamine stimulus (GO:0071870)	14	6	1.94	+	3.09	7.88E-03	3.00E-02
response to catecholamine (GO:0071869)	14	6	1.94	+	3.09	7.88E-03	3.00E-02
cellular response to monoamine stimulus (GO:0071868)	14	6	1.94	+	3.09	7.88E-03	3.00E-02
response to monoamine (GO:0071867)	14	6	1.94	+	3.09	7.88E-03	3.00E-02
regulation of neuronal synaptic plasticity (GO:0048168)	14	6	1.94	+	3.09	7.88E-03	2.99E-02
NADH metabolic process (GO:0006734)	35	15	4.86	+	3.09	2.73E-05	1.93E-04
eye pigment biosynthetic process (GO:0006726)	28	12	3.89	+	3.09	1.75E-04	1.02E-03
cellular response to dopamine (GO:1903351)	14	6	1.94	+	3.09	7.88E-03	2.99E-02
response to dopamine (GO:1903350)	14	6	1.94	+	3.09	7.88E-03	2.99E-02
pattern recognition receptor signaling pathway (GO:0002221)	28	12	3.89	+	3.09	1.75E-04	1.02E-03
secondary alcohol biosynthetic process (GO:1902653)	14	6	1.94	+	3.09	7.88E-03	2.99E-02
regulation of circadian sleep/wake cycle, sleep (GO:0045187)	35	15	4.86	+	3.09	2.73E-05	1.93E-04
actin nucleation (GO:0045010)	14	6	1.94	+	3.09	7.88E-03	2.99E-02
response to ecdysone (GO:0035075)	35	15	4.86	+	3.09	2.73E-05	1.92E-04
short-term memory (GO:0007614)	28	12	3.89	+	3.09	1.75E-04	1.02E-03
immune response-regulating signaling pathway (GO:0002764)	28	12	3.89	+	3.09	1.75E-04	1.02E-03
innate immune response-activating signaling pathway (GO:0002758)	28	12	3.89	+	3.09	1.75E-04	1.02E-03
immune response-activating signaling pathway (GO:0002757)	28	12	3.89	+	3.09	1.75E-04	1.01E-03
terminal button organization (GO:0072553)	14	6	1.94	+	3.09	7.88E-03	2.99E-02
muscle tissue development (GO:0060537)	14	6	1.94	+	3.09	7.88E-03	2.98E-02
response to endogenous stimulus (GO:0009719)	140	60	19.45	+	3.09	4.07E-17	9.63E-16
response to sterol (GO:0036314)	35	15	4.86	+	3.09	2.73E-05	1.92E-04
regulation of developmental process (GO:0050793)	675	289	93.77	+	3.08	3.37E-80	6.19E-78
nervous system development (GO:0007399)	975	417	135.45	+	3.08	1.41E-118	6.93E-116
meiosis I cell cycle process (GO:0061982)	110	47	15.28	+	3.08	1.20E-13	2.16E-12
negative regulation of cell cycle process (GO:0010948)	82	35	11.39	+	3.07	1.67E-10	2.35E-09
apical junction assembly (GO:0043297)	47	20	6.53	+	3.06	1.47E-06	1.33E-05
positive regulation of supramolecular fiber organization (GO:1902905)	40	17	5.56	+	3.06	9.17E-06	7.21E-05
regulation of plasma membrane bounded cell projection organization (GO:0120035)	160	68	22.23	+	3.06	5.54E-19	1.42E-17
cell surface receptor signaling pathway (GO:0007166)	299	127	41.54	+	3.06	1.90E-34	9.56E-33
negative regulation of cell population proliferation (GO:0008285)	73	31	10.14	+	3.06	2.14E-09	2.68E-08
muscle attachment (GO:0016203)	33	14	4.58	+	3.05	5.80E-05	3.81E-04
larval chitin-based cuticle development (GO:0008363)	33	14	4.58	+	3.05	5.80E-05	3.81E-04
skeletal muscle organ development (GO:0060538)	33	14	4.58	+	3.05	5.80E-05	3.80E-04
animal organ development (GO:0048513)	1135	481	157.67	+	3.05	6.58E-137	3.46E-134
nuclear division (GO:0000280)	236	100	32.78	+	3.05	3.23E-27	1.23E-25
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	26	11	3.61	+	3.05	3.73E-04	1.99E-03
purine nucleoside triphosphate biosynthetic process (GO:0009145)	26	11	3.61	+	3.05	3.73E-04	1.99E-03
positive regulation of reproductive process (GO:2000243)	26	11	3.61	+	3.05	3.73E-04	1.99E-03
antennal development (GO:0007469)	26	11	3.61	+	3.05	3.73E-04	1.99E-03
male meiotic nuclear division (GO:0007140)	71	30	9.86	+	3.04	4.48E-09	5.48E-08
regulation of circadian sleep/wake cycle (GO:0042749)	45	19	6.25	+	3.04	3.09E-06	2.66E-05
negative regulation of cell junction assembly (GO:1901889)	45	19	6.25	+	3.04	3.09E-06	2.66E-05
actin filament organization (GO:0007015)	121	51	16.81	+	3.03	2.12E-14	4.01E-13
gamete generation (GO:0007276)	876	369	121.69	+	3.03	2.21E-101	7.05E-99
reciprocal homologous recombination (GO:0140527)	38	16	5.28	+	3.03	1.94E-05	1.41E-04
retina homeostasis (GO:0001895)	19	8	2.64	+	3.03	2.48E-03	1.08E-02
reciprocal meiotic recombination (GO:0007131)	38	16	5.28	+	3.03	1.94E-05	1.40E-04
canonical Wnt signaling pathway (GO:0060070)	19	8	2.64	+	3.03	2.48E-03	1.08E-02
nuclear DNA replication (GO:0033260)	19	8	2.64	+	3.03	2.48E-03	1.08E-02
heterochromatin organization (GO:0070828)	19	8	2.64	+	3.03	2.48E-03	1.08E-02
negative regulation of phosphorylation (GO:0042326)	19	8	2.64	+	3.03	2.48E-03	1.08E-02
negative regulation of cell growth (GO:0030308)	19	8	2.64	+	3.03	2.48E-03	1.07E-02
regulation of intracellular transport (GO:0032386)	57	24	7.92	+	3.03	1.69E-07	1.74E-06
intrinsic apoptotic signaling pathway (GO:0097193)	19	8	2.64	+	3.03	2.48E-03	1.07E-02
pyrimidine-containing compound biosynthetic process (GO:0072528)	19	8	2.64	+	3.03	2.48E-03	1.07E-02
regulation of defense response to virus (GO:0050688)	19	8	2.64	+	3.03	2.48E-03	1.07E-02
protein phosphorylation (GO:0006468)	126	53	17.50	+	3.03	7.23E-15	1.44E-13
pigment metabolic process involved in developmental pigmentation (GO:0043324)	31	13	4.31	+	3.02	1.23E-04	7.58E-04
female germ-line stem cell population maintenance (GO:0036099)	31	13	4.31	+	3.02	1.23E-04	7.57E-04
male meiosis cytokinesis (GO:0007112)	31	13	4.31	+	3.02	1.23E-04	7.57E-04
activation of immune response (GO:0002253)	31	13	4.31	+	3.02	1.23E-04	7.56E-04
purine ribonucleoside triphosphate metabolic process (GO:0009205)	62	26	8.61	+	3.02	5.75E-08	6.17E-07
eye pigment metabolic process (GO:0042441)	31	13	4.31	+	3.02	1.23E-04	7.55E-04
muscle cell cellular homeostasis (GO:0046716)	31	13	4.31	+	3.02	1.23E-04	7.55E-04
epithelial cell morphogenesis (GO:0003382)	31	13	4.31	+	3.02	1.23E-04	7.54E-04
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	31	13	4.31	+	3.02	1.23E-04	7.54E-04
pigment metabolic process involved in pigmentation (GO:0043474)	31	13	4.31	+	3.02	1.23E-04	7.53E-04
positive regulation of cellular component biogenesis (GO:0044089)	136	57	18.89	+	3.02	8.43E-16	1.78E-14
mitotic cell cycle checkpoint signaling (GO:0007093)	43	18	5.97	+	3.01	6.50E-06	5.29E-05
germarium-derived egg chamber formation (GO:0007293)	98	41	13.61	+	3.01	1.00E-11	1.56E-10
dorsal/ventral pattern formation, imaginal disc (GO:0007450)	55	23	7.64	+	3.01	3.54E-07	3.54E-06
regulation of synaptic plasticity (GO:0048167)	36	15	5.00	+	3.00	4.08E-05	2.78E-04
regulation of mitotic nuclear division (GO:0007088)	48	20	6.67	+	3.00	2.19E-06	1.93E-05
sarcomere organization (GO:0045214)	36	15	5.00	+	3.00	4.08E-05	2.78E-04
negative regulation of apoptotic signaling pathway (GO:2001234)	24	10	3.33	+	3.00	7.97E-04	4.01E-03
DNA geometric change (GO:0032392)	24	10	3.33	+	3.00	7.97E-04	4.01E-03
visual behavior (GO:0007632)	24	10	3.33	+	3.00	7.97E-04	4.00E-03
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	36	15	5.00	+	3.00	4.08E-05	2.77E-04
vesicle docking (GO:0048278)	24	10	3.33	+	3.00	7.97E-04	4.00E-03
response to alcohol (GO:0097305)	108	45	15.00	+	3.00	1.17E-12	1.94E-11
positive regulation of developmental process (GO:0051094)	240	100	33.34	+	3.00	1.61E-26	5.90E-25
cell development (GO:0048468)	1290	536	179.21	+	2.99	5.11E-150	2.89E-147
ribonucleoside triphosphate metabolic process (GO:0009199)	65	27	9.03	+	2.99	4.08E-08	4.45E-07
system development (GO:0048731)	1311	544	182.12	+	2.99	2.93E-152	1.96E-149
locomotion (GO:0040011)	135	56	18.75	+	2.99	2.61E-15	5.37E-14
actin cytoskeleton organization (GO:0030036)	258	107	35.84	+	2.99	4.25E-28	1.65E-26
neuron development (GO:0048666)	557	231	77.38	+	2.99	1.96E-60	2.21E-58
positive regulation of neuromuscular junction development (GO:1904398)	41	17	5.70	+	2.98	1.37E-05	1.03E-04
ATP metabolic process (GO:0046034)	58	24	8.06	+	2.98	2.51E-07	2.53E-06
ADP catabolic process (GO:0046032)	29	12	4.03	+	2.98	2.60E-04	1.46E-03
ribonucleoside triphosphate biosynthetic process (GO:0009201)	29	12	4.03	+	2.98	2.60E-04	1.45E-03
ribonucleoside diphosphate catabolic process (GO:0009191)	29	12	4.03	+	2.98	2.60E-04	1.45E-03
